Category,Difficulty,QuestionGroup,Question,Answer,Explanation
ACA,Beginner,1,ACA strokes may cause weakness of the leg.,TRUE,ACA supplies brain areas controlling leg movement.
ACA,Beginner,1,ACA strokes commonly affect the face and arm more than the leg.,FALSE,ACA strokes more commonly affect the leg than the face and arm.
ACA,Beginner,1,Leg weakness is commonly seen after ACA stroke.,TRUE,Leg weakness is a classic ACA stroke feature.
ACA,Beginner,1,Weakness of the face and arm is usually more prominent than leg weakness in ACA stroke.,FALSE,Leg symptoms are typically more prominent in ACA stroke.
ACA,Beginner,2,ACA strokes may cause loss of feeling in the leg.,TRUE,ACA supplies sensory areas responsible for the leg.
ACA,Beginner,2,ACA strokes commonly affect sensation in the face and arm more than the leg.,FALSE,ACA strokes more commonly affect leg sensation.
ACA,Beginner,2,ACA strokes may affect sensation in the lower limb.,TRUE,Sensory loss in the leg may occur with ACA stroke.
ACA,Beginner,2,Sensory symptoms from ACA stroke are usually limited to the face.,FALSE,ACA strokes commonly affect the leg.
ACA,Beginner,3,ACA strokes may affect behaviour and personality.,TRUE,Frontal lobe involvement may alter behaviour.
ACA,Beginner,3,Visual disturbances are usually the most prominent feature of ACA stroke.,FALSE,Behavioural changes are more characteristic.
ACA,Beginner,3,Behavioural changes may occur following ACA stroke.,TRUE,Frontal dysfunction can affect personality and behaviour.
ACA,Beginner,3,ACA strokes are more commonly associated with visual field loss than behavioural change.,FALSE,Behavioural changes are more typical.
ACA,Beginner,4,ACA strokes may reduce a person's motivation.,TRUE,ACA territory includes areas involved in motivation.
ACA,Beginner,4,ACA strokes commonly cause increased motivation and overactivity.,FALSE,Reduced motivation is more typical.
ACA,Beginner,4,Reduced motivation may occur after ACA stroke.,TRUE,Abulia may occur following ACA stroke.
ACA,Beginner,4,Motivation is usually unaffected by ACA stroke.,FALSE,Motivation can be significantly affected.
ACA,Beginner,5,ACA strokes may affect decision making.,TRUE,Executive functions may be impaired.
ACA,Beginner,5,Decision making is usually preserved following ACA stroke.,FALSE,Decision making may be affected.
ACA,Beginner,5,Problems with decision making may occur after ACA stroke.,TRUE,Frontal lobe dysfunction may impair judgement.
ACA,Beginner,5,ACA strokes are more likely to affect vision than decision making.,FALSE,Decision making problems are more characteristic.
ACA,Beginner,6,ACA strokes may affect bladder control.,TRUE,ACA territory includes areas involved in continence.
ACA,Beginner,6,Bladder symptoms are more commonly associated with MCA stroke than ACA stroke.,FALSE,Bladder dysfunction is a recognised ACA feature.
ACA,Beginner,6,Problems controlling the bladder may occur after ACA stroke.,TRUE,Incontinence may occur after ACA stroke.
ACA,Beginner,6,ACA strokes are more likely to cause visual symptoms than bladder symptoms.,FALSE,Bladder symptoms are more characteristic.
ACA,Beginner,7,The ACA supplies areas on the inner surface of the brain.,TRUE,ACA supplies medial brain structures.
ACA,Beginner,7,The ACA mainly supplies the outer surface of the temporal lobe.,FALSE,ACA primarily supplies medial surfaces.
ACA,Beginner,7,The ACA supplies brain tissue close to the midline.,TRUE,ACA territory lies near the midline.
ACA,Beginner,7,Most ACA blood supply is directed towards the lateral brain surface.,FALSE,That is more typical of MCA territory.
ACA,Beginner,8,The ACA supplies parts of the frontal lobe.,TRUE,ACA supplies medial frontal regions.
ACA,Beginner,8,The ACA mainly supplies the occipital lobe.,FALSE,Occipital supply is mainly PCA.
